,Start,End
0,2019-12-29 13:38:59.527998,2019-12-29 13:38:59.538969
1,2019-12-29 13:38:59.560910,2019-12-29 13:38:59.571881
2,2019-12-29 13:38:59.602797,2019-12-29 13:38:59.650679
3,2019-12-29 13:38:59.656654,2019-12-29 13:38:59.727466
4,2019-12-29 13:38:59.796285,2019-12-29 13:38:59.810246
5,2019-12-29 13:38:59.845150,2019-12-29 13:38:59.852130
6,2019-12-29 13:38:59.906985,2019-12-29 13:38:59.913968
7,2019-12-29 13:38:59.985777,2019-12-29 13:38:59.994750
8,2019-12-29 13:39:00.035640,2019-12-29 13:39:00.041624
9,2019-12-29 13:39:00.116423,2019-12-29 13:39:00.122409
10,2019-12-29 13:39:00.190229,2019-12-29 13:39:00.202195
11,2019-12-29 13:39:00.245082,2019-12-29 13:39:00.252062
12,2019-12-29 13:39:00.322871,2019-12-29 13:39:00.329853
13,2019-12-29 13:39:00.374734,2019-12-29 13:39:00.381717
14,2019-12-29 13:39:00.433576,2019-12-29 13:39:00.533308
15,2019-12-29 13:39:00.539293,2019-12-29 13:39:00.580183
16,2019-12-29 13:39:00.586167,2019-12-29 13:39:00.656979
17,2019-12-29 13:39:00.664959,2019-12-29 13:39:00.713827
18,2019-12-29 13:39:00.720807,2019-12-29 13:39:00.781647
19,2019-12-29 13:39:00.797603,2019-12-29 13:39:00.863425
20,2019-12-29 13:39:00.921271,2019-12-29 13:39:00.929250
21,2019-12-29 13:39:00.985100,2019-12-29 13:39:00.993079
22,2019-12-29 13:39:01.042945,2019-12-29 13:39:01.050931
23,2019-12-29 13:39:01.106776,2019-12-29 13:39:01.112758
24,2019-12-29 13:39:01.187561,2019-12-29 13:39:01.195537
25,2019-12-29 13:39:01.251387,2019-12-29 13:39:01.336163
26,2019-12-29 13:39:01.345137,2019-12-29 13:39:01.380045
27,2019-12-29 13:39:01.386027,2019-12-29 13:39:01.460830
28,2019-12-29 13:39:01.466811,2019-12-29 13:39:01.513686
29,2019-12-29 13:39:01.520667,2019-12-29 13:39:01.582501
30,2019-12-29 13:39:01.589483,2019-12-29 13:39:01.664291
31,2019-12-29 13:39:01.732101,2019-12-29 13:39:01.738085
32,2019-12-29 13:39:01.780972,2019-12-29 13:39:01.786956
33,2019-12-29 13:39:01.857767,2019-12-29 13:39:01.865746
34,2019-12-29 13:39:01.907639,2019-12-29 13:39:01.913618
35,2019-12-29 13:39:02.002380,2019-12-29 13:39:02.010357
36,2019-12-29 13:39:02.050250,2019-12-29 13:39:02.121062
37,2019-12-29 13:39:02.129040,2019-12-29 13:39:02.184891
38,2019-12-29 13:39:02.192870,2019-12-29 13:39:02.246726
39,2019-12-29 13:39:02.254704,2019-12-29 13:39:02.312549
40,2019-12-29 13:39:02.321525,2019-12-29 13:39:02.392339
41,2019-12-29 13:39:02.401315,2019-12-29 13:39:02.455170
42,2019-12-29 13:39:02.521989,2019-12-29 13:39:02.531964
43,2019-12-29 13:39:02.583824,2019-12-29 13:39:02.593799
44,2019-12-29 13:39:02.642665,2019-12-29 13:39:02.647656
45,2019-12-29 13:39:02.724451,2019-12-29 13:39:02.732427
46,2019-12-29 13:39:02.791268,2019-12-29 13:39:02.799248
47,2019-12-29 13:39:02.864081,2019-12-29 13:39:02.931892
48,2019-12-29 13:39:02.937876,2019-12-29 13:39:02.981759
49,2019-12-29 13:39:02.987742,2019-12-29 13:39:03.058555
50,2019-12-29 13:39:03.067530,2019-12-29 13:39:03.141332
51,2019-12-29 13:39:03.147315,2019-12-29 13:39:03.189205
52,2019-12-29 13:39:03.195187,2019-12-29 13:39:03.266997
53,2019-12-29 13:39:03.321850,2019-12-29 13:39:03.329828
54,2019-12-29 13:39:03.385679,2019-12-29 13:39:03.392659
55,2019-12-29 13:39:03.447516,2019-12-29 13:39:03.460480
56,2019-12-29 13:39:03.539267,2019-12-29 13:39:03.545251
57,2019-12-29 13:39:03.588136,2019-12-29 13:39:03.594121
58,2019-12-29 13:39:03.656953,2019-12-29 13:39:03.728764
59,2019-12-29 13:39:03.741726,2019-12-29 13:39:03.780622
60,2019-12-29 13:39:03.786605,2019-12-29 13:39:03.863400
61,2019-12-29 13:39:03.868386,2019-12-29 13:39:03.929226
62,2019-12-29 13:39:03.941196,2019-12-29 13:39:03.988066
63,2019-12-29 13:39:03.995048,2019-12-29 13:39:04.062868
64,2019-12-29 13:39:04.131683,2019-12-29 13:39:04.137665
65,2019-12-29 13:39:04.182547,2019-12-29 13:39:04.189528
66,2019-12-29 13:39:04.281285,2019-12-29 13:39:04.288264
67,2019-12-29 13:39:04.323170,2019-12-29 13:39:04.329154
68,2019-12-29 13:39:04.401960,2019-12-29 13:39:04.408940
69,2019-12-29 13:39:04.451826,2019-12-29 13:39:04.528620
70,2019-12-29 13:39:04.535601,2019-12-29 13:39:04.579487
71,2019-12-29 13:39:04.586465,2019-12-29 13:39:04.676226
72,2019-12-29 13:39:04.685201,2019-12-29 13:39:04.724097
73,2019-12-29 13:39:04.731079,2019-12-29 13:39:04.787926
74,2019-12-29 13:39:04.793911,2019-12-29 13:39:04.850757
75,2019-12-29 13:39:04.927553,2019-12-29 13:39:04.939521
76,2019-12-29 13:39:04.979415,2019-12-29 13:39:04.985397
77,2019-12-29 13:39:05.058204,2019-12-29 13:39:05.076155
78,2019-12-29 13:39:05.108070,2019-12-29 13:39:05.138987
79,2019-12-29 13:39:05.170901,2019-12-29 13:39:05.203814
80,2019-12-29 13:39:05.234731,2019-12-29 13:39:05.267643
81,2019-12-29 13:39:05.300555,2019-12-29 13:39:05.332472
82,2019-12-29 13:39:05.379344,2019-12-29 13:39:05.411259
83,2019-12-29 13:39:05.443173,2019-12-29 13:39:05.475088
84,2019-12-29 13:39:05.508998,2019-12-29 13:39:05.539914
85,2019-12-29 13:39:05.570832,2019-12-29 13:39:05.602746
86,2019-12-29 13:39:05.633664,2019-12-29 13:39:05.667573
87,2019-12-29 13:39:05.698499,2019-12-29 13:39:05.746362
88,2019-12-29 13:39:05.777279,2019-12-29 13:39:05.845099
89,2019-12-29 13:39:05.852080,2019-12-29 13:39:05.877014
90,2019-12-29 13:39:05.922891,2019-12-29 13:39:05.928873
91,2019-12-29 13:39:05.984728,2019-12-29 13:39:06.019632
92,2019-12-29 13:39:06.081466,2019-12-29 13:39:06.088447
93,2019-12-29 13:39:06.132331,2019-12-29 13:39:06.139311
94,2019-12-29 13:39:06.176211,2019-12-29 13:39:06.226079
95,2019-12-29 13:39:06.234060,2019-12-29 13:39:06.274949
96,2019-12-29 13:39:06.323818,2019-12-29 13:39:06.330799
97,2019-12-29 13:39:06.371689,2019-12-29 13:39:06.427542
98,2019-12-29 13:39:06.438511,2019-12-29 13:39:06.466436
99,2019-12-29 13:39:06.531264,2019-12-29 13:39:06.536249
100,2019-12-29 13:39:06.577140,2019-12-29 13:39:06.636983
101,2019-12-29 13:39:06.652940,2019-12-29 13:39:06.674877
102,2019-12-29 13:39:06.741700,2019-12-29 13:39:06.748683
103,2019-12-29 13:39:06.772617,2019-12-29 13:39:06.778601
